"","GAME_PLAYED","WIN_RATE","ON_FIRE","ELIS","OBJ_KILLS","OBJ_TIME","DAMAGE","HEALING","DEATH","WEAPON_ACC","SCOPED_ACC","ENMY_SLEPT","OFF_ASSISTS","DEF_ASSISTS","BOOST_ASSISTS","ED","VOTING_CARDS","MEDALS","GOLD","SILVER","BRONZE","PLAYER_ID","WIN","LOSS"
"423",6,0.5,"2.5%","10.50 ","2.50 ","00:13 ","4,357 ","6,255 ","5.00 ","22% ","62% ","7.00 ","12.50 ","7.00 ","6.50 ",2.1,"0.50 ",1,"0.50 ","0.50 ","0.00 ","HUONOPELAAJA-21279",3,3
"424",1,1,"11.2%","15.00 ","9.00 ","00:30 ","5,183 ","8,623 ","3.00 ","22% ","62% ","6.00 ","14.00 ","14.00 ","4.00 ",5,"1.00 ",2,"1.00 ","0.00 ","1.00 ","HUONOPELAAJA-21279",1,0
"425",7,0.5,"26.6%","15.00 ","7.75 ","00:54 ","4,044 ","11,066 ","5.75 ","22% ","62% ","7.50 ","13.50 ","18.00 ","5.00 ",2.61,"0.00 ",1.25,"1.00 ","0.25 ","0.25 ","HUONOPELAAJA-21279",4,3
"426",12,0.6,"10.0%","13.80 ","4.40 ","00:40 ","5,319 ","11,656 ","6.20 ","23% ","62% ","8.30 ","12.60 ","16.40 ","4.30 ",2.23,"0.40 ",1.4,"0.80 ","0.20 ","0.20 ","HUONOPELAAJA-21279",7,5
"427",2,0.6667,"17.2%","15.33 ","6.33 ","01:04 ","5,049 ","14,964 ","6.00 ","23% ","62% ","7.00 ","13.00 ","21.33 ","5.00 ",2.56,"0.67 ",1.67,"1.00 ","0.00 ","1.00 ","HUONOPELAAJA-21279",1,1
"428",14,0.5385,"18.4%","17.54 ","6.00 ","00:39 ","6,158 ","11,524 ","6.85 ","23% ","62% ","7.62 ","16.92 ","17.31 ","6.31 ",2.56,"0.54 ",1.31,"0.92 ","0.23 ","0.15 ","HUONOPELAAJA-21279",8,6
"429",6,0.5,"0.0%","8.00 ","3.00 ","00:33 ","3,008 ","6,548 ","6.50 ","22% ","62% ","3.50 ","5.50 ","8.50 ","1.50 ",1.23,"0.00 ",1,"0.50 ","1.00 ","0.00 ","Skairipa-2391",3,3
"430",6,0.5,"15.0%","15.00 ","4.00 ","00:20 ","4,324 ","9,006 ","7.00 ","22% ","62% ","6.00 ","15.00 ","10.50 ","7.00 ",2.14,"1.00 ",2,"1.00 ","0.00 ","0.50 ","Skairipa-2391",3,3
"431",7,0.6667,"26.3%","18.25 ","8.00 ","01:31 ","5,549 ","18,337 ","8.75 ","22% ","62% ","7.50 ","18.25 ","22.00 ","5.00 ",2.09,"0.75 ",2,"1.00 ","0.00 ","1.25 ","Skairipa-2391",5,2
"432",21,0.6111,"17.8%","15.89 ","5.50 ","01:01 ","5,168 ","11,681 ","7.78 ","22% ","62% ","7.67 ","16.44 ","18.39 ","6.61 ",2.04,"0.50 ",1.17,"0.83 ","0.11 ","0.17 ","Skairipa-2391",13,8
"433",13,0.375,"13.9%","15.75 ","4.75 ","00:55 ","4,444 ","14,107 ","6.00 ","22% ","62% ","6.38 ","14.88 ","17.00 ","5.62 ",2.62,"0.62 ",1.62,"1.12 ","0.25 ","0.25 ","Skairipa-2391",5,8
"434",28,0.5,"14.4%","14.25 ","4.83 ","01:01 ","4,379 ","12,766 ","6.96 ","23% ","63% ","6.88 ","13.54 ","17.79 ","5.04 ",2.05,"0.67 ",1.54,"0.92 ","0.25 ","0.38 ","Skairipa-2391",14,14
"435",1,0,"28.9%","19.00 ","8.00 ","01:43 ","5,946 ","16,359 ","8.00 ","21% ","57% ","5.00 ","19.00 ","31.00 ","6.00 ",2.38,"1.00 ",2,"1.00 ","0.00 ","1.00 ","Wallace-21634",0,1
"436",7,0.25,"6.0%","7.75 ","2.75 ","00:30 ","4,236 ","6,644 ","10.50 ","22% ","57% ","6.25 ","7.50 ","8.50 ","1.75 ",0.74,"0.00 ",1.5,"0.00 ","1.25 ","0.25 ","Wallace-21634",2,5
"437",1,1,"30.9%","19.00 ","10.00 ","03:24 ","6,376 ","14,622 ","11.00 ","22% ","57% ","10.00 ","18.00 ","21.00 ","3.00 ",1.73,"0.00 ",2,"2.00 ","0.00 ","1.00 ","Wallace-21634",1,0
"438",1,0,"20.1%","26.00 ","16.00 ","01:26 ","6,736 ","11,082 ","14.00 ","21% ","57% ","9.00 ","22.00 ","19.00 ","8.00 ",1.86,"0.00 ",1,"1.00 ","0.00 ","0.00 ","Wallace-21634",0,1
"439",6,1,"42.8%","22.50 ","10.00 ","01:08 ","6,628 ","8,065 ","3.00 ","21% ","57% ","9.50 ","20.00 ","14.00 ","8.00 ",7.5,"0.50 ",4,"2.00 ","1.00 ","1.00 ","Wallace-21634",6,0
"440",6,1,"16.8%","12.00 ","5.50 ","01:08 ","5,753 ","12,104 ","6.00 ","21% ","57% ","8.50 ","11.00 ","16.00 ","5.50 ",2,"0.50 ",2.5,"1.00 ","0.50 ","1.00 ","Wallace-21634",6,0
"441",12,0.5556,"15.6%","12.50 ","6.00 ","01:06 ","4,818 ","13,635 ","8.20 ","18% ","54% ","5.70 ","14.10 ","20.40 ","5.50 ",1.52,"0.50 ",1.3,"1.00 ","0.10 ","0.30 ","KarQ-1811",7,5
"442",5,0.5556,"13.0%","16.44 ","6.67 ","01:31 ","6,332 ","13,222 ","9.78 ","18% ","54% ","7.22 ","16.56 ","21.89 ","7.11 ",1.68,"0.44 ",1.22,"0.78 ","0.22 ","0.11 ","KarQ-1811",3,2
"443",4,0.5714,"20.9%","17.29 ","8.57 ","01:42 ","7,476 ","12,510 ","7.14 ","18% ","54% ","6.71 ","18.14 ","19.00 ","7.57 ",2.42,"0.14 ",2.29,"1.14 ","0.43 ","0.71 ","KarQ-1811",2,2
"444",4,0.5714,"12.6%","13.00 ","4.29 ","01:08 ","4,442 ","14,180 ","8.86 ","18% ","54% ","4.86 ","12.14 ","20.57 ","5.29 ",1.47,"0.57 ",1.43,"1.00 ","0.00 ","0.57 ","KarQ-1811",2,2
"445",8,0.6667,"25.2%","16.67 ","6.00 ","01:03 ","5,591 ","13,722 ","6.00 ","18% ","54% ","5.83 ","15.67 ","24.17 ","5.17 ",2.78,"0.83 ",1,"0.67 ","0.00 ","0.00 ","KarQ-1811",5,3
"446",21,0.5556,"12.1%","12.11 ","4.56 ","00:56 ","4,399 ","10,784 ","7.94 ","18% ","54% ","4.72 ","12.78 ","16.00 ","5.83 ",1.52,"0.39 ",1.39,"0.94 ","0.28 ","0.28 ","KarQ-1811",12,9
"447",8,0.8333,"16.9%","18.17 ","8.17 ","01:46 ","4,790 ","10,533 ","8.17 ","23% ","61% ","8.67 ","13.67 ","20.33 ","5.83 ",2.22,"0.33 ",1.83,"0.33 ","0.83 ","0.67 ","Huminater-2286",7,1
"448",2,0.6667,"11.3%","10.00 ","4.67 ","01:00 ","3,193 ","9,753 ","6.67 ","23% ","61% ","6.00 ","11.33 ","11.67 ","4.67 ",1.5,"0.67 ",1.67,"1.00 ","0.67 ","0.00 ","Huminater-2286",1,1
"449",2,0.6667,"11.4%","17.33 ","5.67 ","01:00 ","5,470 ","11,378 ","7.67 ","23% ","61% ","5.00 ","13.67 ","19.67 ","4.00 ",2.26,"1.00 ",1.33,"1.00 ","0.33 ","0.00 ","Huminater-2286",1,1
"450",6,0,"14.2%","13.00 ","5.00 ","00:18 ","5,059 ","8,677 ","9.50 ","23% ","61% ","8.00 ","9.50 ","8.00 ","2.00 ",1.37,"0.00 ",2.5,"1.00 ","1.00 ","0.00 ","Huminater-2286",0,6
"451",2,0.6667,"2.8%","9.67 ","3.00 ","01:23 ","5,260 ","11,946 ","9.33 ","23% ","61% ","7.33 ","13.33 ","17.00 ","4.67 ",1.04,"0.33 ",1,"1.00 ","0.33 ","0.33 ","Huminater-2286",1,1
"452",8,0.3333,"32.7%","12.50 ","6.00 ","01:04 ","4,617 ","11,813 ","5.50 ","23% ","61% ","6.67 ","12.17 ","18.67 ","4.50 ",2.27,"0.50 ",1.5,"0.67 ","0.33 ","0.17 ","Huminater-2286",3,5
"453",29,0.6286,"18.0%","16.89 ","6.37 ","01:01 ","5,656 ","13,505 ","7.14 ","25% ","60% ","5.57 ","16.26 ","19.86 ","6.46 ",2.36,"0.71 ",1.34,"0.94 ","0.09 ","0.26 ","FRANA-11381",18,11
"454",2,0.6667,"2.9%","9.00 ","2.33 ","00:47 ","3,686 ","9,356 ","4.67 ","26% ","60% ","4.67 ","10.00 ","9.00 ","3.67 ",1.93,"0.67 ",1,"1.33 ","0.00 ","0.00 ","FRANA-11381",1,1
"455",14,0.6154,"18.1%","15.08 ","6.69 ","00:55 ","5,095 ","10,971 ","7.31 ","26% ","60% ","6.23 ","13.77 ","17.15 ","4.92 ",2.06,"0.54 ",1.77,"1.00 ","0.38 ","0.38 ","FRANA-11381",9,5
"456",5,0.3333,"14.7%","11.56 ","2.78 ","01:05 ","4,952 ","10,812 ","7.22 ","27% ","60% ","6.22 ","12.33 ","14.78 ","5.33 ",1.6,"0.44 ",1.11,"0.78 ","0.22 ","0.22 ","FRANA-11381",2,3
"457",8,0.6667,"3.1%","10.33 ","3.00 ","00:31 ","4,294 ","8,011 ","6.17 ","27% ","60% ","5.50 ","9.17 ","9.83 ","3.33 ",1.68,"0.33 ",1.83,"1.17 ","0.17 ","0.33 ","FRANA-11381",5,3
"458",2,0.6667,"13.3%","10.00 ","2.00 ","00:28 ","3,649 ","8,033 ","9.00 ","27% ","61% ","4.33 ","12.00 ","9.67 ","3.67 ",1.11,"0.33 ",1.33,"0.67 ","0.00 ","0.33 ","FRANA-11381",1,1
"459",1,0,"0.0%","5.00 ","0.00 ","00:07 ","3,517 ","4,201 ","7.00 ","25% ","59% ","6.00 ","4.00 ","5.00 ","0.00 ",0.71,"0.00 ",2,"0.00 ","1.00 ","1.00 ","Bezpalivo-2209",0,1
"460",1,0,"5.8%","8.00 ","3.00 ","00:19 ","5,808 ","5,646 ","1.00 ","25% ","59% ","5.00 ","8.00 ","6.00 ","1.00 ",8,"0.00 ",1,"0.00 ","0.00 ","1.00 ","Bezpalivo-2209",0,1
"461",1,0,"11.6%","12.00 ","0.00 ","00:36 ","5,680 ","6,574 ","8.00 ","25% ","59% ","9.00 ","7.00 ","8.00 ","2.00 ",1.5,"0.00 ",1,"1.00 ","0.00 ","0.00 ","Bezpalivo-2209",0,1
"462",1,1,"47.0%","15.00 ","9.00 ","00:32 ","5,762 ","5,438 ","2.00 ","25% ","59% ","7.00 ","12.00 ","23.00 ","4.00 ",7.5,"0.00 ",2,"1.00 ","1.00 ","0.00 ","Bezpalivo-2209",1,0
